Function                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module            Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Source File                   Start Address
std::operator>><char, std::char_traits<char>, std::allocator<char>>                                                                                                                                                                                                                                                                                                                                                                                0.050s                   0.050s                  0s                      0s  libstdc++.so.6    std::operator>><char, std::char_traits<char>, std::allocator<char>>(std::basic_istream<char, std::char_traits<char>>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>&)                                                                                                                                                                                                                                                                                                                                 [Unknown]                     0xdfbe0      
stbi                                                                                                                                                                                                                                                                                                                                                                                                                                               0.040s                   0.040s                  0s                      0s  renderer          stbi(float, int, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            stb_image.h                   0x517e0      
stbi__jpeg_huff_decode                                                                                                                                                                                                                                                                                                                                                                                                                             0.040s                   0.040s                  0s                      0s  renderer          stbi__jpeg_huff_decode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  stb_image.h                   0x582cf      
func@0x2ffc30                                                                                                                                                                                                                                                                                                                                                                                                                                      0.040s                   0.040s                  0s                      0s  iris_dri.so       func@0x2ffc30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]                     0x2ffc30     
std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char>>::basic_istringstream                                                                                                                                                                                                                                                                                                                                         0.030s                   0.030s                  0s                      0s  renderer          std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char>>::basic_istringstream(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, std::_Ios_Openmode)                                                                                                                                                                                                                                                                                                                   sstream                       0x8df0       
stbi__bitreverse16                                                                                                                                                                                                                                                                                                                                                                                                                                 0.020s                   0.020s                  0s                      0s  renderer          stbi__bitreverse16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      stb_image.h                   0x51aa0      
memmove                                                                                                                                                                                                                                                                                                                                                                                                                                            0.020s                   0.020s                  0s                      0s  libc-dynamic.so   memmove                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]                     0x69e90      
__cxa_demangle                                                                                                                                                                                                                                                                                                                                                                                                                                     0.020s                   0.020s                  0s                      0s  libc++abi.so      __cxa_demangle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]                     0x21fe0      
std::vector<unsigned int, std::allocator<unsigned int>>::push_back                                                                                                                                                                                                                                                                                                                                                                                 0.020s                   0.020s                  0s                      0s  renderer          std::vector<unsigned int, std::allocator<unsigned int>>::push_back(unsigned int const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                 stl_vector.h                  0x1a826      
func@0x295ed0                                                                                                                                                                                                                                                                                                                                                                                                                                      0.020s                   0.020s                  0s                      0s  iris_dri.so       func@0x295ed0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]                     0x295ed0     
(anonymous namespace)::itanium_demangle::PODSmallVector<(anonymous namespace)::itanium_demangle::Node*, (unsigned long)32>::push_back                                                                                                                                                                                                                                                                                                              0.020s                   0.020s                  0s                      0s  libc++abi.so      (anonymous namespace)::itanium_demangle::PODSmallVector<(anonymous namespace)::itanium_demangle::Node*, (unsigned long)32>::push_back((anonymous namespace)::itanium_demangle::Node* const&)                                                                                                                                                                                                                                                                                                                                            [Unknown]                     0xf7e0       
memset                                                                                                                                                                                                                                                                                                                                                                                                                                             0.020s                   0.020s                  0s                      0s  renderer          memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  string_fortified.h            0x51077      
stbi__zget8                                                                                                                                                                                                                                                                                                                                                                                                                                        0.020s                   0.020s                  0s                      0s  renderer          stbi__zget8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             stb_image.h                   0x51c78      
stbi__zhuffman_decode                                                                                                                                                                                                                                                                                                                                                                                                                              0.020s                   0.020s                  0s                      0s  renderer          stbi__zhuffman_decode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   stb_image.h                   0x517b5      
glfwInit                                                                                                                                                                                                                                                                                                                                                                                                                                           0.011s                   0.011s                  0s                      0s  libglfw.so.3      glfwInit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]                     0x15d30      
__GI___libc_free                                                                                                                                                                                                                                                                                                                                                                                                                                   0.010s                   0.010s                  0s                      0s  libc.so.6         __GI___libc_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        malloc.c                      0xa53a0      
stbi__jpeg_decode_block_prog_ac                                                                                                                                                                                                                                                                                                                                                                                                                    0.010s                   0.010s                  0s                      0s  renderer          stbi__jpeg_decode_block_prog_ac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         stb_image.h                   0x5e097      
appendPrimitiveValues                                                                                                                                                                                                                                                                                                                                                                                                                              0.010s                   0.010s                  0s                      0s  renderer          appendPrimitiveValues(cgltf_primitive&, std::vector<VertexAttribute, std::allocator<VertexAttribute>>&, std::vector<unsigned int, std::allocator<unsigned int>>&)                                                                                                                                                                                                                                                                                                                                                                       objectLoading.cpp             0x40e20      
__memset_avx2_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                  0s                      0s  libc.so.6         __memset_avx2_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            memset-vec-unaligned-erms.S   0x1a1000     
stbi__convert_format                                                                                                                                                                                                                                                                                                                                                                                                                               0.010s                   0.010s                  0s                      0s  renderer          stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                              stb_image.h                   0x498c0      
memcmp                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                  0s                      0s  libc-dynamic.so   memcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]                     0x69ce0      
cgltf_accessor_read_float                                                                                                                                                                                                                                                                                                                                                                                                                          0.010s                   0.010s                  0s                      0s  renderer          cgltf_accessor_read_float                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               cgltf.h                       0x3e350      
std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char>>::basic_stringbuf                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                  0s                      0s  renderer          std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char>>::basic_stringbuf(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, std::_Ios_Openmode)                                                                                                                                                                                                                                                                                                                           sstream                       0x8df0       
_mm_sub_epi32                                                                                                                                                                                                                                                                                                                                                                                                                                      0.010s                   0.010s                  0s                      0s  renderer          _mm_sub_epi32(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               emmintrin.h                   0x487ce      
(anonymous namespace)::itanium_demangle::AbstractManglingParser<(anonymous namespace)::itanium_demangle::ManglingParser<(anonymous namespace)::DefaultAllocator>, (anonymous namespace)::DefaultAllocator>::parseSourceName.constprop.0                                                                                                                                                                                                            0.010s                   0.010s                  0s                      0s  libc++abi.so      (anonymous namespace)::itanium_demangle::AbstractManglingParser<(anonymous namespace)::itanium_demangle::ManglingParser<(anonymous namespace)::DefaultAllocator>, (anonymous namespace)::DefaultAllocator>::parseSourceName((anonymous namespace)::itanium_demangle::AbstractManglingParser<(anonymous namespace)::itanium_demangle::ManglingParser<(anonymous namespace)::DefaultAllocator>, (anonymous namespace)::DefaultAllocator>::NameState*).constprop.0                                                                         [Unknown]                     0x144e0      
stbi__jpeg_huff_decode                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                  0s                      0s  renderer          stbi__jpeg_huff_decode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  stb_image.h                   0x57c41      
OS_BARESYSCALL_DoCallAsmIntel64Linux                                                                                                                                                                                                                                                                                                                                                                                                               0.010s                   0.010s                  0s                      0s  libc-dynamic.so   OS_BARESYSCALL_DoCallAsmIntel64Linux                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]                     0x80954      
stbi__idct_simd                                                                                                                                                                                                                                                                                                                                                                                                                                    0.010s                   0.010s                  0s                      0s  renderer          stbi__idct_simd(unsigned char*, int, short*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            stb_image.h                   0x482d0      
_mm_sub_epi32                                                                                                                                                                                                                                                                                                                                                                                                                                      0.010s                   0.010s                  0s                      0s  renderer          _mm_sub_epi32(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               emmintrin.h                   0x48515      
operator new                                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                  0s                      0s  libstdc++.so.6    operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]                     0xc3f60      
CalculateFaceNormal                                                                                                                                                                                                                                                                                                                                                                                                                                0.010s                   0.010s                  0s                      0s  renderer          CalculateFaceNormal(Vec3, Vec3, Vec3)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   vector.cpp                    0x16040      
[Outside any known module]                                                                                                                                                                                                                                                                                                                                                                                                                         0.010s                   0.010s                  0s                      0s  [Unknown]         [Outside any known module]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]                     0            
__GI___close                                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                  0s                      0s  libc.so.6         __GI___close                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            close.c                       0x114f90     
__gnu_cxx::__exchange_and_add_dispatch                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                  0s                      0s  renderer          __gnu_cxx::__exchange_and_add_dispatch(int*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       atomicity.h                   0x17400      
__gnu_cxx::operator-<VertexAttribute*, std::vector<VertexAttribute, std::allocator<VertexAttribute>>>                                                                                                                                                                                                                                                                                                                                              0.010s                   0.010s                  0s                      0s  renderer          __gnu_cxx::operator-<VertexAttribute*, std::vector<VertexAttribute, std::allocator<VertexAttribute>>>(__gnu_cxx::__normal_iterator<VertexAttribute*, std::vector<VertexAttribute, std::allocator<VertexAttribute>>> const&, __gnu_cxx::__normal_iterator<VertexAttribute*, std::vector<VertexAttribute, std::allocator<VertexAttribute>>> const&)                                                                                                                                                                                       stl_iterator.h                0x1a032      
__sincos                                                                                                                                                                                                                                                                                                                                                                                                                                           0.010s                   0.010s                  0s                      0s  libm.so.6         __sincos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                s_sincos.c                    0x2fa80      
func@0x14420                                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                  0s                      0s  libtbb.so.12      func@0x14420                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]                     0x14420      
func@0x1a7b0                                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                  0s                      0s  libglfw.so.3      func@0x1a7b0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]                     0x1a7b0      
func@0x1c570                                                                                                                                                                                                                                                                                                                                                                                                                                       0.010s                   0.010s                  0s                      0s  libglfw.so.3      func@0x1c570                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]                     0x1c570      
